horizon,metric,decile,mean,median,hit_rate,count
5,absolute,1,-0.0014187025371746468,-0.0041580221300139275,0.4438202247191011,3026
5,absolute,2,-0.004687931009829819,-0.006500732476898863,0.41878871300757053,2906
5,absolute,3,-0.0024515386833572407,-0.00487804878048792,0.41710296684118675,2865
5,absolute,4,-0.003433733868920468,-0.005589173010605797,0.40716723549488054,2930
5,absolute,5,-0.0020318526979901767,-0.0037978381536661887,0.43546730571722014,2921
5,absolute,6,-0.0014710655549298693,-0.0045351473922903285,0.42521891418563923,2855
5,absolute,7,-0.002224400283112173,-0.004106793496593153,0.4359062715368711,2902
5,absolute,8,-0.001119710623539177,-0.00487804878048792,0.4289173296437219,2891
5,absolute,9,-0.0011701526767376477,-0.00554576020993941,0.43558495821727017,2872
5,absolute,10,-0.0002133770330307228,-0.004464285714285587,0.44844844844844844,2997
5,market_alpha,1,-0.003641289339899941,-0.006184889531277493,0.42828816920026436,3026
5,market_alpha,2,-0.006692633168399271,-0.007799004965322709,0.4194769442532691,2906
5,market_alpha,3,-0.004530885944938694,-0.006487285458848691,0.4258289703315881,2865
5,market_alpha,4,-0.005583726272912916,-0.006738553007764991,0.41945392491467576,2930
5,market_alpha,5,-0.003995659656951295,-0.007618427933665073,0.41595344060253336,2921
5,market_alpha,6,-0.0036407972588028965,-0.007432611531344224,0.41961471103327497,2855
5,market_alpha,7,-0.004407399999133112,-0.007467540689308549,0.4203997243280496,2902
5,market_alpha,8,-0.003183897607174557,-0.007823027150030915,0.4192320996195088,2891
5,market_alpha,9,-0.003205161003795824,-0.00912935734993825,0.41643454038997213,2872
5,market_alpha,10,-0.002319183402843097,-0.009838706816292841,0.4394394394394394,2997
5,sector_alpha,1,0.005122339826998453,0.0,0.48116325181758096,3026
5,sector_alpha,2,0.0018458459960455646,0.0,0.45664143152099107,2906
5,sector_alpha,3,0.0033177263822742184,0.0,0.4799301919720768,2865
5,sector_alpha,4,0.00181509930154771,0.0,0.45631399317406146,2930
5,sector_alpha,5,0.0032347513466948353,0.0,0.46799041424169807,2921
5,sector_alpha,6,0.0033669980681953838,0.0,0.4549912434325744,2855
5,sector_alpha,7,0.0033597584684080107,0.0,0.4620951068228808,2902
5,sector_alpha,8,0.0034421583655858943,0.0,0.4469041854029748,2891
5,sector_alpha,9,0.0033739323605903792,0.0,0.4474233983286908,2872
5,sector_alpha,10,0.0028795704219502323,0.0,0.4477811144477811,2997
20,absolute,1,-0.007845113449244486,-0.01522309711286085,0.4021164021164021,2835
20,absolute,2,-0.013666516013717715,-0.02225907499539337,0.3789435069699193,2726
20,absolute,3,-0.008274933609997082,-0.015748031496062964,0.4085661080074488,2685
20,absolute,4,-0.011029674065659729,-0.017386400886882536,0.38545454545454544,2750
20,absolute,5,-0.008715974783431427,-0.015337423312883347,0.4013133892739876,2741
20,absolute,6,-0.00771838147479733,-0.011898515964623047,0.4204035874439462,2676
20,absolute,7,-0.005654876247409319,-0.012502297374437477,0.4129316678912564,2722
20,absolute,8,-0.005137689971087765,-0.012048192771084376,0.41430151124216735,2713
20,absolute,9,-0.00615534437128307,-0.01672179125622819,0.3917716827279466,2698
20,absolute,10,-0.004599367460063114,-0.020876630959711318,0.4039971448965025,2802
20,market_alpha,1,-0.01940752214975561,-0.02922322702373692,0.36261022927689596,2835
20,market_alpha,2,-0.0250913701082063,-0.03139791123745633,0.3499633162142333,2726
20,market_alpha,3,-0.01955407166943568,-0.021890451218035123,0.3687150837988827,2685
20,market_alpha,4,-0.02271512196089922,-0.02615838694477396,0.3490909090909091,2750
20,market_alpha,5,-0.019941831254230408,-0.02739056914188165,0.35716891645384896,2741
20,market_alpha,6,-0.019131051846719486,-0.026151271371522067,0.3740657698056801,2676
20,market_alpha,7,-0.017437068719587914,-0.025934916258273044,0.3666421748714181,2722
20,market_alpha,8,-0.016323955909986063,-0.023823422945500328,0.3789163287873203,2713
20,market_alpha,9,-0.01767509917444743,-0.031206821002755014,0.3636026686434396,2698
20,market_alpha,10,-0.016063369537248906,-0.03174499938796255,0.3854389721627409,2802
20,sector_alpha,1,0.011728306881414286,0.0,0.4793650793650794,2835
20,sector_alpha,2,0.005112651419645538,0.0,0.4475421863536317,2726
20,sector_alpha,3,0.00950225157959711,0.0,0.4808193668528864,2685
20,sector_alpha,4,0.006666800205547374,0.0,0.45381818181818184,2750
20,sector_alpha,5,0.007888003424518928,0.0,0.45603794235680406,2741
20,sector_alpha,6,0.009153510388082924,0.0,0.4730941704035874,2676
20,sector_alpha,7,0.010239286937974807,0.0,0.47685525349008084,2722
20,sector_alpha,8,0.00893256431014082,0.0,0.47143383708072245,2713
20,sector_alpha,9,0.008678521663851925,0.0,0.44662713120830244,2698
20,sector_alpha,10,0.005067306113411293,0.0,0.4300499643112063,2802
60,absolute,1,-0.03434261159889884,-0.05713481564874756,0.3252699784017279,2315
60,absolute,2,-0.03921485696678029,-0.05666251556662505,0.32662192393736017,2235
60,absolute,3,-0.030409863952108755,-0.052176602212781475,0.34454545454545454,2200
60,absolute,4,-0.027346994537750774,-0.04638041475013732,0.3651785714285714,2240
60,absolute,5,-0.022920242563590494,-0.03869232768989089,0.3643238434163701,2248
60,absolute,6,-0.01965768056438227,-0.03991166933104584,0.3595608417200366,2186
