scope,horizon,metric,mean,median,hit_rate,count
ALL,5,absolute,-0.004078816162444839,-0.005555555555555647,0.3333333333333333,3
ALL,5,market_alpha,-0.012222920369608037,-0.013179384495411783,0.3333333333333333,3
ALL,5,sector_alpha,-0.009940153663840415,-0.005555555555555647,0.3333333333333333,3
ALL,20,absolute,0.004516323571957896,0.03472222222222232,0.6666666666666666,3
ALL,20,market_alpha,-0.009440471407733964,0.014208858524873857,0.6666666666666666,3
ALL,20,sector_alpha,0.0015168641143303851,0.02880506245890868,0.6666666666666666,3
ALL,60,absolute,,,,0
ALL,60,market_alpha,,,,0
ALL,60,sector_alpha,,,,0
Pullback resume + HTF confirm,5,absolute,-0.004078816162444839,-0.005555555555555647,0.3333333333333333,3
Pullback resume + HTF confirm,5,market_alpha,-0.012222920369608037,-0.013179384495411783,0.3333333333333333,3
Pullback resume + HTF confirm,5,sector_alpha,-0.009940153663840415,-0.005555555555555647,0.3333333333333333,3
Pullback resume + HTF confirm,20,absolute,0.004516323571957896,0.03472222222222232,0.6666666666666666,3
Pullback resume + HTF confirm,20,market_alpha,-0.009440471407733964,0.014208858524873857,0.6666666666666666,3
Pullback resume + HTF confirm,20,sector_alpha,0.0015168641143303851,0.02880506245890868,0.6666666666666666,3
Pullback resume + HTF confirm,60,absolute,,,,0
Pullback resume + HTF confirm,60,market_alpha,,,,0
Pullback resume + HTF confirm,60,sector_alpha,,,,0
