score,horizon,metric,mean_ic,median_ic,ic_positive_rate,ic_std,days
rs_score,5,market_alpha,-0.022543918193175815,-0.028633952007140154,0.4337899543378995,0.2274776396412817,219
rs_score,5,sector_alpha,-0.027279942573524077,-0.03700194072234226,0.4383561643835616,0.18189600796350736,219
rs_score,20,market_alpha,-0.015834249305561758,0.02646152513373374,0.5392156862745098,0.21857943914669542,204
rs_score,20,sector_alpha,-0.035969668446384814,-0.0006463046547017775,0.5,0.1756819767538052,204
rs_score,60,market_alpha,-0.004377867569844111,0.030927171503162237,0.5487804878048781,0.19020768053114592,164
rs_score,60,sector_alpha,-0.02927036527108966,-0.039287331165818354,0.4024390243902439,0.13267905135792113,164
real_strength_score,5,market_alpha,-0.0324985038819737,-0.050553215153242854,0.44666666666666666,0.20223326054634014,150
real_strength_score,5,sector_alpha,-0.02027054238623938,-0.04228791196262769,0.44,0.19798268054432366,150
real_strength_score,20,market_alpha,-0.07172800812768566,-0.027685866333853948,0.43703703703703706,0.20936998383998237,135
real_strength_score,20,sector_alpha,-0.062228456221610856,-0.05698059612836401,0.4148148148148148,0.1893104799793025,135
real_strength_score,60,market_alpha,-0.05578686350015936,-0.035674803883649395,0.42105263157894735,0.1617807870029738,95
real_strength_score,60,sector_alpha,-0.025060674560645056,-0.024754931080884352,0.45263157894736844,0.1380605721142716,95
leadership_score,5,market_alpha,-0.013419864713412843,-0.023519217339726353,0.4657534246575342,0.23403070036939363,219
leadership_score,5,sector_alpha,-0.02013132437015402,-0.017048531944021447,0.4474885844748858,0.1581047576369784,219
leadership_score,20,market_alpha,-0.005135417240683044,0.03177239280113126,0.5637254901960784,0.2261198546836728,204
leadership_score,20,sector_alpha,-0.023822454841919936,0.012504282012968382,0.5294117647058824,0.15305539179629332,204
leadership_score,60,market_alpha,0.01287719892890523,0.05027183733024498,0.5670731707317073,0.2072265219457343,164
leadership_score,60,sector_alpha,-0.018479622495901085,-0.03639927883916137,0.42073170731707316,0.12012346352935108,164
