entry_date,ticker,sector,entry_price,entry_score,entry_reason,model_version,created_at,real_strength_med10,leadership_med10,long_med10,sector_med10,short_momentum_score,flow_score,trend_score,real_strength_score,residual_mom_60,residual_mom_120,rs_persistence_count,path_quality_60,return_concentration_60,rs_60,rs_120,rs_sector_60,sector_rs_60,weekly_ret12,medium_trend_confirm,weekly_trend_confirm,ret_5,ma20_distance,volume_ratio_20,macd,macd_hist,ma20,ma50,stage
2025-11-24,AAA,Hóa chất,8.0,86.4413145539906,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15,AAA,Hóa chất,7.44,81.9340277777778,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-06,AAS,Dịch vụ tài chính,9.0,81.7863372093023,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23,ABB,Ngân hàng,10.61,90.697695035461,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03,ABB,Ngân hàng,12.12,85.1260644768856,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06,ABB,Ngân hàng,12.68,79.3758243405276,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,ABB,Ngân hàng,13.03,70.8179347826087,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,ABB,Ngân hàng,13.55,85.9584888059701,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15,ABB,Ngân hàng,17.4,71.9089781746032,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,ACB,Ngân hàng,22.42,93.0200501253133,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-16,ACB,Ngân hàng,23.75,93.9210611979167,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20,ACV,Hàng & Dịch vụ Công nghiệp,61.4,76.3650056306306,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12,AGR,Dịch vụ tài chính,17.75,74.9066840277778,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-07,AGR,Dịch vụ tài chính,16.0,89.5602564102564,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-15,BAF,Thực phẩm và đồ uống,29.61,92.0323581560284,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03,BAF,Thực phẩm và đồ uống,30.55,80.7798556430446,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11,BFC,Hóa chất,42.92,79.3691724941725,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16,BFC,Hóa chất,45.86,67.5807823129252,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,BFC,Hóa chất,45.86,68.4807795698925,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,BFC,Hóa chất,60.9,85.0797101449275,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,BID,Ngân hàng,36.45,83.1165780141844,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,BID,Ngân hàng,41.91,81.4000946969697,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11,BMP,Xây dựng và Vật liệu,160.47,81.9210992907801,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,BMP,Xây dựng và Vật liệu,149.41,79.8579963235294,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-30,BMP,Xây dựng và Vật liệu,152.9,75.1885,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,BSI,Dịch vụ tài chính,34.6,83.8396317829457,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-27,BSR,Dầu khí,21.26,90.2279411764706,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-23,BSR,Dầu khí,25.91,80.7706953642384,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19,BSR,Dầu khí,26.7,79.7177734375,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,BSR,Dầu khí,27.55,90.1428571428572,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,BVB,Ngân hàng,13.2,88.5808727034121,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08,BVH,Bảo hiểm,55.6,80.6969424460432,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22,BVH,Bảo hiểm,56.0,83.9655797101449,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-03,BVH,Bảo hiểm,79.8,86.7009408602151,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-24,BVH,Bảo hiểm,80.3,90.4301948051948,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19,BVH,Bảo hiểm,66.8,72.9823404947917,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-14,BVH,Bảo hiểm,68.0,85.3572834645669,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,BVS,Dịch vụ tài chính,30.2,89.8425,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-22,CDC,Xây dựng và Vật liệu,18.6,81.2440476190476,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08,CII,Xây dựng và Vật liệu,26.55,76.3180455635492,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,CII,Xây dựng và Vật liệu,19.8,85.3061594202899,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-02,CSV,Hóa chất,33.85,82.8250838926175,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-25,CTD,Xây dựng và Vật liệu,80.09,75.0036764705882,SM ngắn hạn vượt 80,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,CTD,Xây dựng và Vật liệu,83.0,76.3944746376812,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22,CTG,Ngân hàng,34.62,72.4370471014493,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,CTG,Ngân hàng,35.65,83.401268115942,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-15,CTS,Dịch vụ tài chính,22.95,89.9304461942257,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05,DBC,Thực phẩm và đồ uống,24.64,82.3899456521739,MA20/MA50 cross,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-16,DBC,Thực phẩm và đồ uống,24.64,76.7240691489362,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,DCL,Y tế,32.95,99.6225058685446,BB squeeze breakout,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-27,DCL,Y tế,38.5,95.1866134751773,MACD turn dương,v2-causal-2026-09-20,2026-09-20T08:10:29.869407+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
