portfolio_rank,ticker,sector,sector_rank,sector_score,leadership_score,short_momentum_score,long_momentum_score,flow_score,acceleration,portfolio_score,stage,weight
1,BSR,Dầu khí,2,90.0,92.70138888888889,95.09920634920637,93.69047619047619,90.11904761904762,5.006944444444443,91.64528025793652,LEADER,10.0
2,BVH,Bảo hiểm,1,99.16666666666667,86.32142857142858,86.82539682539685,75.75396825396825,89.52380952380952,5.539682539682559,91.25899801587303,LEADER,10.0
3,DCL,Y tế,3,84.16666666666667,87.44345238095238,92.51984126984128,68.25396825396825,94.6031746031746,35.09623015873015,85.00713541666667,LEADER,10.0
4,AAA,Hóa chất,4,76.11111111111111,83.0575396825397,82.53968253968257,82.22222222222221,92.57936507936508,47.59301265551267,80.56834821428572,EMERGING,10.0
5,SSB,Ngân hàng,5,64.72222222222221,88.47619047619048,94.12698412698414,98.73015873015873,87.46031746031746,0.7579365079365061,79.45261904761905,LEADER,10.0
6,PVT,Hàng & Dịch vụ Công nghiệp,7,62.49999999999999,84.78373015873015,83.65079365079366,91.9047619047619,92.02380952380952,-4.345238095238102,76.01204861111111,NEUTRAL,10.0
7,MSR,Tài nguyên Cơ bản,10,52.77777777777777,87.24801587301587,97.50000000000001,92.14285714285712,94.8809523809524,8.378968253968253,74.03227678571429,LEADER,10.0
8,GAS,"Điện, nước & xăng dầu khí đốt",6,63.333333333333336,74.09920634920636,74.52380952380953,82.18253968253968,60.91269841269842,0.9642857142857224,69.1025496031746,NEUTRAL,10.0
9,QNS,Thực phẩm và đồ uống,8,52.77777777777778,70.8998015873016,58.86904761904763,84.16666666666667,62.93650793650794,-15.580357142857139,62.22389136904763,FADING,10.0
10,DGW,Bán lẻ,9,52.77777777777778,66.58333333333334,48.21428571428572,84.16666666666666,52.8968253968254,-14.382936507936492,59.15526785714287,FADING,10.0
